file,line,url,snippet
cfk-standalone/.claude/settings.local.json,18,https://cforkids.org/admin/login.php,"ash(curl -s -c /tmp/cookies.txt -b /tmp/cookies.txt -X POST https://cforkids.org/admin/login.php -d \""username=test_automation\"" -d \""password=TestAdmin2025"
cfk-standalone/.claude/settings.local.json,27,https://claude.com/claude-code,time limits in emails\n\nðŸ¤– Generated with [Claude Code](https://claude.com/claude-code)\n\nCo-Authored-By: Claude <noreply@anthropic.com>\nEOF\n)\
cfk-standalone/.env,16,http://localhost:8082,BASE_URL=http://localhost:8082
cfk-standalone/PROJECT-STATUS.md,61,http://localhost:8082,- **Access:** http://localhost:8082
cfk-standalone/PROJECT-STATUS.md,66,https://cforkids.org,- **URL:** https://cforkids.org
cfk-standalone/PROJECT-STATUS.md,76,https://github.com/binarybcc/cfk.git`,1. Clone repository: `git clone https://github.com/binarybcc/cfk.git`
cfk-standalone/PROJECT-STATUS.md,81,http://localhost:8082,6. Access app: http://localhost:8082
cfk-standalone/PROJECT-STATUS.md,295,http://localhost:8082,- **Local Dev:** http://localhost:8082
cfk-standalone/PROJECT-STATUS.md,296,http://localhost:8082/admin/,- **Admin Panel:** http://localhost:8082/admin/
cfk-standalone/PROJECT-STATUS.md,297,https://cforkids.org,- **Production:** https://cforkids.org
cfk-standalone/PROJECT-STATUS.md,298,https://cforkids.org/admin/,- **Prod Admin:** https://cforkids.org/admin/
cfk-standalone/QUICK-START.md,11,https://github.com/binarybcc/cfk.git,git clone https://github.com/binarybcc/cfk.git
cfk-standalone/QUICK-START.md,45,http://localhost:8082,BASE_URL=http://localhost:8082
cfk-standalone/QUICK-START.md,86,http://localhost:8082,- **Main Site:** http://localhost:8082
cfk-standalone/QUICK-START.md,87,http://localhost:8082/admin/,- **Admin Panel:** http://localhost:8082/admin/
cfk-standalone/QUICK-START.md,88,http://localhost:8081,- **phpMyAdmin:** http://localhost:8081
cfk-standalone/QUICK-START.md,194,http://localhost:8082,- [ ] Access http://localhost:8082
cfk-standalone/README.md,60,https://yoursite.com/sponsor/`,- Public site: `https://yoursite.com/sponsor/`
cfk-standalone/README.md,61,https://yoursite.com/sponsor/admin/`,- Admin panel: `https://yoursite.com/sponsor/admin/`
cfk-standalone/README.md,135,https://yoursite.com/sponsor/,"'base_url' => 'https://yoursite.com/sponsor/',"
cfk-standalone/api/create_reservation.php,142,https://cforkids.org/?page=my_sponsorships\n\n,"$body .= ""https://cforkids.org/?page=my_sponsorships\n\n"";"
